Subject Area;Subcategory;Scholarly Output Périmètre A;Citations Périmètre A;Authors Périmètre A;Citations per Publication Périmètre A;Field-weighted Citation Impact Périmètre A;Scholarly Output Périmètre B;Citations Périmètre B;Authors Périmètre B;Citations per Publication Périmètre B;Field-weighted Citation Impact Périmètre B
Social Sciences;Archeology;7;25;41;3,6;1,7;5;17;38;3,4;1,65
Social Sciences;Education;17;60;110;3,5;0,65;13;19;44;1,5;0,33
Social Sciences;Geography, Planning and Development;35;177;254;5,1;0,68;15;75;138;5;1,32
Social Sciences;Health (social science);10;58;56;5,8;1,16;2;10;11;5;1,6
Social Sciences;Human Factors and Ergonomics;7;33;22;4,7;0,47;2;10;8;5;0,65
Social Sciences;Law;1;3;5;3;2,51;2;13;3;6,5;2,34
Social Sciences;Library and Information Sciences;10;43;92;4,3;0,63;6;15;19;2,5;0,38
Social Sciences;Linguistics and Language;21;357;49;17;3,45;20;118;44;5,9;1,75
Social Sciences;Safety Research;1;3;3;3;0,29;#N/A;#N/A;#N/A;#N/A;#N/A
Social Sciences;Sociology and Political Science;5;4;13;0,8;0,31;5;0;10;0;0
Social Sciences;Transportation;18;478;70;26,6;3,24;1;0;4;0;0
Social Sciences;Anthropology;1;7;7;7;3,34;#N/A;#N/A;#N/A;#N/A;#N/A
Social Sciences;Communication;7;15;23;2,1;0,59;1;4;7;4;1,01
Social Sciences;Cultural Studies;3;2;4;0,7;0,36;1;0;1;0;0
Social Sciences;Urban Studies;5;10;20;2;0,53;3;3;13;1;0,15
Business, Management and Accounting;-;102;2244;373;22;5,42;56;271;152;4,8;0,97
Business, Management and Accounting;General Business,Management and Accounting;17;187;40;11;1,52;11;74;27;6,7;3,25
Business, Management and Accounting;Business, Management and Accounting (miscellaneous);3;11;7;3,7;0,53;4;1;5;0,3;0,31
Business, Management and Accounting;Business and International Management;10;322;36;32,2;2,2;11;33;23;3;0,73
Business, Management and Accounting;Management Information Systems;5;19;25;3,8;0,47;4;1;12;0,3;0,04
Business, Management and Accounting;Management of Technology and Innovation;17;205;63;12,1;1,3;17;52;57;3,1;0,28
Business, Management and Accounting;Marketing;2;8;8;4;0,83;10;44;9;4,4;0,35
Business, Management and Accounting;Strategy and Management;59;1656;262;28,1;8,28;17;107;73;6,3;0,63
Business, Management and Accounting;Industrial Relations;3;12;10;4;0,56;3;12;10;4;0,56
Arts and Humanities;-;63;646;212;10,3;1,87;50;190;148;3,8;1,49
Arts and Humanities;Arts and Humanities (miscellaneous);10;301;50;30,1;2,49;6;33;22;5,5;1,19
Arts and Humanities;History;2;0;4;0;0;2;0;2;0;0
Arts and Humanities;Language and Linguistics;29;293;70;10,1;2,32;23;123;51;5,3;1,62
Arts and Humanities;Archeology (arts and humanities);15;34;82;2,3;1,23;8;23;54;2,9;1,52
Arts and Humanities;Conservation;5;3;27;0,6;0,57;1;1;5;1;0,61
Arts and Humanities;History and Philosophy of Science;1;0;1;0;0;9;0;20;0;0
Arts and Humanities;Literature and Literary Theory;1;0;2;0;0;1;0;1;0;0
Arts and Humanities;Music;6;14;16;2,3;1,43;#N/A;#N/A;#N/A;#N/A;#N/A
Arts and Humanities;Religious Studies;3;2;4;0,7;0,36;#N/A;#N/A;#N/A;#N/A;#N/A
Arts and Humanities;Visual Arts and Performing Arts;1;5;4;5;1,41;#N/A;#N/A;#N/A;#N/A;#N/A
Immunology and Microbiology;-;58;553;436;9,5;1,32;53;490;570;9,2;1,31
Immunology and Microbiology;General Immunology and Microbiology;6;56;72;9,3;1,24;5;52;79;10,4;1,22
Immunology and Microbiology;Immunology and Microbiology (miscellaneous);3;5;15;1,7;2,01;2;4;19;2;2,97
Immunology and Microbiology;Applied Microbiology and Biotechnology;13;183;112;14,1;1,5;12;151;127;12,6;1,34
Immunology and Microbiology;Immunology;7;93;99;13,3;2,08;14;181;222;12,9;1,62
Immunology and Microbiology;Microbiology;35;323;290;9,2;1,3;22;211;212;9,6;1,57
Immunology and Microbiology;Virology;6;31;60;5,2;0,77;6;17;119;2,8;0,39
Pharmacology, Toxicology and Pharmaceutics;-;55;720;390;13,1;0,97;62;681;469;11;1,03
Pharmacology, Toxicology and Pharmaceutics;General Pharmacology, Toxicology and Pharmaceutics;1;30;5;30;1,17;2;12;17;6;0,67
Pharmacology, Toxicology and Pharmaceutics;Pharmacology, Toxicology and Pharmaceutics (miscellaneous);3;70;36;23,3;0,84;6;118;51;19,7;1,58
Pharmacology, Toxicology and Pharmaceutics;Drug Discovery;29;348;194;12;0,92;34;412;240;12,1;1,11
Pharmacology, Toxicology and Pharmaceutics;Pharmaceutical Science;29;473;201;16,3;1,05;33;421;251;12,8;1,14
Pharmacology, Toxicology and Pharmaceutics;Pharmacology;20;170;163;8,5;0,95;21;188;201;9;0,99
Pharmacology, Toxicology and Pharmaceutics;Toxicology;8;76;66;9,5;0,83;7;72;54;10,3;0,81
Health Professions;-;32;410;205;12,8;1,67;14;246;64;17,6;1,52
Health Professions;Health Professions (miscellaneous);10;58;56;5,8;1,16;2;13;15;6,5;1,83
Health Professions;Health Information Management;7;128;34;18,3;1,85;8;218;42;27,3;1,98
Health Professions;Physical Therapy, Sports Therapy and Rehabilitation;4;9;10;2,3;0,27;#N/A;#N/A;#N/A;#N/A;#N/A
Health Professions;Radiological and Ultrasound Technology;11;215;109;19,5;2,54;4;15;11;3,8;0,45
Economics, Econometrics and Finance;-;30;260;97;8,7;1,78;20;106;53;5,3;2,08
Economics, Econometrics and Finance;General Economics,Econometrics and Finance;8;12;26;1,5;1,67;7;12;20;1,7;1,73
Economics, Econometrics and Finance;Economics, Econometrics and Finance (miscellaneous);5;24;20;4,8;3,32;1;5;4;5;0,47
Economics, Econometrics and Finance;Economics and Econometrics;16;212;48;13,3;1,34;12;89;31;7,4;2,42
Economics, Econometrics and Finance;Finance;1;12;4;12;1,81;#N/A;#N/A;#N/A;#N/A;#N/A
Neuroscience;-;27;269;188;10;1,45;14;129;124;9,2;0,92
Neuroscience;General Neuroscience;7;108;90;15,4;1,26;6;102;87;17;1,22
Neuroscience;Neuroscience (miscellaneous);1;0;4;0;0;1;0;4;0;0
Neuroscience;Behavioral Neuroscience;2;2;14;1;0,29;1;1;3;1;0,27
Neuroscience;Cellular and Molecular Neuroscience;7;47;45;6,7;1,3;3;9;17;3;0,61
Neuroscience;Cognitive Neuroscience;3;90;12;30;4,33;#N/A;#N/A;#N/A;#N/A;#N/A
Neuroscience;Developmental Neuroscience;1;1;11;1;0,31;#N/A;#N/A;#N/A;#N/A;#N/A
Neuroscience;Neurology;5;5;29;1;0,83;1;0;7;0;0
Neuroscience;Sensory Systems;3;17;13;5,7;1,13;3;17;13;5,7;1,13
Psychology;-;21;207;139;9,9;1,34;7;17;32;2,4;0,55
Psychology;General Psychology;5;25;28;5;0,66;3;12;13;4;0,5
Psychology;Psychology (miscellaneous);2;4;9;2;0,66;1;3;3;3;0,54
Psychology;Applied Psychology;6;58;28;9,7;1,07;2;5;11;2,5;1,16
Psychology;Developmental and Educational Psychology;3;7;21;2,3;0,66;2;3;8;1,5;0,27
Psychology;Experimental and Cognitive Psychology;3;81;13;27;3,89;1;3;3;3;0,54
Psychology;Neuropsychology and Physiological Psychology;1;38;57;38;5,12;#N/A;#N/A;#N/A;#N/A;#N/A
Psychology;Social Psychology;5;18;24;3,6;0,45;3;5;15;1,7;0,78
Nursing;-;12;71;66;5,9;0,65;6;5;41;0,8;0,59
Nursing;General Nursing;1;0;2;0;0;#N/A;#N/A;#N/A;#N/A;#N/A
Nursing;Gerontology;1;0;10;0;0;1;0;10;0;0
Nursing;Nutrition and Dietetics;10;71;54;7,1;0,78;3;3;17;1;0,3
Dentistry;-;9;43;57;4,8;1,58;3;3;18;1;0,36
Dentistry;General Dentistry;7;24;33;3,4;0,85;3;3;18;1;0,36
Dentistry;Oral Surgery;2;19;24;9,5;4,12;#N/A;#N/A;#N/A;#N/A;#N/A
Psychology;Neuropsychology and Physiological Psychology;1;37;57;37,0;5,05;#N/A;#N/A;#N/A;#N/A;#N/A
Psychology;Social Psychology;8;64;36;8,0;0,54;3;5;15;1,7;0,78
Nursing;-;15;109;88;7,3;0,67;6;5;41;0,8;0,59
Nursing;General Nursing;1;0;2;0,0;0,00;#N/A;#N/A;#N/A;#N/A;#N/A
Nursing;Gerontology;1;0;10;0,0;0,00;1;0;10;0;0
Nursing;Nutrition and Dietetics;13;109;76;8,4;0,78;3;3;17;1;0,3
Dentistry;-;13;90;74;6,9;1,44;3;3;18;1;0,36
Dentistry;General Dentistry;8;35;37;4,4;0,84;3;3;18;1;0,36
Dentistry;Dentistry (miscellaneous);2;11;9;5,5;0,47;#N/A;#N/A;#N/A;#N/A;#N/A
Dentistry;Oral Surgery;3;44;29;14,7;3,66;#N/A;#N/A;#N/A;#N/A;#N/A
